item_id,source_page,book_part,foundation,chapter_number,chapter_title,chapter_pillar,subpillar,subpillar_logic,tool_class,clean_title,practical_guidance,practical_logic,what_this_is_for,example_1,example_2,minto_governing_thought,minto_level_1,minto_level_2,minto_level_3,minto_level_4,minto_level_5,minto_supporting_logic,minto_path,primary_category,item_type,confidence_score,source_anchor
138,33,Part One: Lead with Presence,Presence,1,The Center of Our Lives,Communication foundations and the central role of speech,Emotional literacy,Name real feelings clearly and use them as data.,Practice or exercise,"In addition to these root physiological and psychological components of communication, realms of emotion,",Name the actual feeling rather than a thought or accusation.,Name the actual feeling rather than a thought or accusation.,Repeatable training drill or reflection exercise.,“I feel anxious about tomorrow’s meeting” is clearer than “I feel ignored.”,"A parent might say, “I feel overwhelmed and tired,” rather than “You are impossible tonight.”","Skillful communication becomes more effective when you build it from foundation to practice: presence, intention, attention, and live integration.",Skillful communication,Presence,The Center of Our Lives,Emotional literacy,Practice or exercise,Name real feelings clearly and use them as data.,Skillful communication > Presence > The Center of Our Lives > Emotional literacy > Practice or exercise,feelings,exercise_or_practice,18,"In addition to these root physiological and psychological components of communication, realms"
193,35,Part One: Lead with Presence,Presence,1,The Center of Our Lives,Communication foundations and the central role of speech,Emotional literacy,Name real feelings clearly and use them as data.,Practice or exercise,"Over the course of this book I’ll be encouraging you to investigate your thinking,",Name the actual feeling rather than a thought or accusation.,Name the actual feeling rather than a thought or accusation.,Repeatable training drill or reflection exercise.,“I feel anxious about tomorrow’s meeting” is clearer than “I feel ignored.”,"A parent might say, “I feel overwhelmed and tired,” rather than “You are impossible tonight.”","Skillful communication becomes more effective when you build it from foundation to practice: presence, intention, attention, and live integration.",Skillful communication,Presence,The Center of Our Lives,Emotional literacy,Practice or exercise,Name real feelings clearly and use them as data.,Skillful communication > Presence > The Center of Our Lives > Emotional literacy > Practice or exercise,feelings,exercise_or_practice,12,Over the course of this book I’ll be encouraging you to investigate
33,27,Part One: Lead with Presence,Presence,1,The Center of Our Lives,Communication foundations and the central role of speech,Emotional literacy,Name real feelings clearly and use them as data.,Assessment or reflection,and so we harden inside and disconnect from our vulnerability,Name the actual feeling rather than a thought or accusation. Use it to assess your default pattern before changing behavior.,Name the actual feeling rather than a thought or accusation.,Prompt to assess your current pattern.,“I feel anxious about tomorrow’s meeting” is clearer than “I feel ignored.”,"A parent might say, “I feel overwhelmed and tired,” rather than “You are impossible tonight.”","Skillful communication becomes more effective when you build it from foundation to practice: presence, intention, attention, and live integration.",Skillful communication,Presence,The Center of Our Lives,Emotional literacy,Assessment or reflection,Name real feelings clearly and use them as data.,Skillful communication > Presence > The Center of Our Lives > Emotional literacy > Assessment or reflection,feelings,assessment_or_reflection,26,and so we harden inside and disconnect from our vulnerability. And at
301,32,Part One: Lead with Presence,Presence,1,The Center of Our Lives,Communication foundations and the central role of speech,Emotional literacy,Name real feelings clearly and use them as data.,Assessment or reflection,we are born until the moment we die,Name the actual feeling rather than a thought or accusation. Use it to assess your default pattern before changing behavior.,Name the actual feeling rather than a thought or accusation.,Prompt to assess your current pattern.,“I feel anxious about tomorrow’s meeting” is clearer than “I feel ignored.”,"A parent might say, “I feel overwhelmed and tired,” rather than “You are impossible tonight.”","Skillful communication becomes more effective when you build it from foundation to practice: presence, intention, attention, and live integration.",Skillful communication,Presence,The Center of Our Lives,Emotional literacy,Assessment or reflection,Name real feelings clearly and use them as data.,Skillful communication > Presence > The Center of Our Lives > Emotional literacy > Assessment or reflection,feelings,assessment_or_reflection,22,we are born until the moment we die. Pause to take this
144,31,Part One: Lead with Presence,Presence,1,The Center of Our Lives,Communication foundations and the central role of speech,Empathy and listening,"Listen for feelings, needs, and what matters before solving.",Principle,"In nature, eye contact among primates can be a sign of aggression","Listen for feelings and needs first, and reflect them back before offering solutions. Treat it as a rule of thumb that organizes the surrounding practices.","Listen for feelings and needs first, and reflect them back before offering solutions.",Rule of thumb that organizes practice.,Try: “Are you feeling frustrated because you wanted more support?”,"Before advising, reflect back: “It sounds like you wanted to feel understood.”","Skillful communication becomes more effective when you build it from foundation to practice: presence, intention, attention, and live integration.",Skillful communication,Presence,The Center of Our Lives,Empathy and listening,Principle,"Listen for feelings, needs, and what matters before solving.",Skillful communication > Presence > The Center of Our Lives > Empathy and listening > Principle,empathy_listening,principle,16,"In nature, eye contact among primates can be a sign of aggression."
196,25,Part One: Lead with Presence,Presence,1,The Center of Our Lives,Communication foundations and the central role of speech,Empathy and listening,"Listen for feelings, needs, and what matters before solving.",Step-by-step process,part one the first step lead with presence EFFECTIVE COMMUNICATION DEPENDS on our ability,"Listen for feelings and needs first, and reflect them back before offering solutions. Apply it as a sequence rather than a one-off insight.","Listen for feelings and needs first, and reflect them back before offering solutions.",Sequenced method to apply in conversation.,Try: “Are you feeling frustrated because you wanted more support?”,"Before advising, reflect back: “It sounds like you wanted to feel understood.”","Skillful communication becomes more effective when you build it from foundation to practice: presence, intention, attention, and live integration.",Skillful communication,Presence,The Center of Our Lives,Empathy and listening,Step-by-step process,"Listen for feelings, needs, and what matters before solving.",Skillful communication > Presence > The Center of Our Lives > Empathy and listening > Step-by-step process,empathy_listening,step_process,17,part one the first step lead with presence EFFECTIVE COMMUNICATION DEPENDS on
146,30,Part One: Lead with Presence,Presence,1,The Center of Our Lives,Communication foundations and the central role of speech,Empathy and listening,"Listen for feelings, needs, and what matters before solving.",Practice or exercise,"In one of the first exercises I teach, I invite participants to share a","Listen for feelings and needs first, and reflect them back before offering solutions.","Listen for feelings and needs first, and reflect them back before offering solutions.",Repeatable training drill or reflection exercise.,Try: “Are you feeling frustrated because you wanted more support?”,"Before advising, reflect back: “It sounds like you wanted to feel understood.”","Skillful communication becomes more effective when you build it from foundation to practice: presence, intention, attention, and live integration.",Skillful communication,Presence,The Center of Our Lives,Empathy and listening,Practice or exercise,"Listen for feelings, needs, and what matters before solving.",Skillful communication > Presence > The Center of Our Lives > Empathy and listening > Practice or exercise,empathy_listening,exercise_or_practice,16,"In one of the first exercises I teach, I invite participants to"
246,28,Part One: Lead with Presence,Presence,1,The Center of Our Lives,Communication foundations and the central role of speech,Empathy and listening,"Listen for feelings, needs, and what matters before solving.",Assessment or reflection,smashing it against the floor in my grandmother’s living room,"Listen for feelings and needs first, and reflect them back before offering solutions. Use it to assess your default pattern before changing behavior.","Listen for feelings and needs first, and reflect them back before offering solutions.",Prompt to assess your current pattern.,Try: “Are you feeling frustrated because you wanted more support?”,"Before advising, reflect back: “It sounds like you wanted to feel understood.”","Skillful communication becomes more effective when you build it from foundation to practice: presence, intention, attention, and live integration.",Skillful communication,Presence,The Center of Our Lives,Empathy and listening,Assessment or reflection,"Listen for feelings, needs, and what matters before solving.",Skillful communication > Presence > The Center of Our Lives > Empathy and listening > Assessment or reflection,empathy_listening,assessment_or_reflection,13,"smashing it against the floor in my grandmother’s living room. Dramatic, I"
156,36,Part One: Lead with Presence,Presence,1,The Center of Our Lives,Communication foundations and the central role of speech,Empathy and listening,"Listen for feelings, needs, and what matters before solving.",Assessment or reflection,It’s different for everyone,"Listen for feelings and needs first, and reflect them back before offering solutions. Use it to assess your default pattern before changing behavior.","Listen for feelings and needs first, and reflect them back before offering solutions.",Prompt to assess your current pattern.,Try: “Are you feeling frustrated because you wanted more support?”,"Before advising, reflect back: “It sounds like you wanted to feel understood.”","Skillful communication becomes more effective when you build it from foundation to practice: presence, intention, attention, and live integration.",Skillful communication,Presence,The Center of Our Lives,Empathy and listening,Assessment or reflection,"Listen for feelings, needs, and what matters before solving.",Skillful communication > Presence > The Center of Our Lives > Empathy and listening > Assessment or reflection,empathy_listening,assessment_or_reflection,14,It’s different for everyone. I find it fascinating how presence can feel
230,22,Part One: Lead with Presence,Presence,1,The Center of Our Lives,Communication foundations and the central role of speech,Mindfulness and regulation,"Pause, breathe, ground, and regulate before speaking.",Assessment or reflection,relationships,"Use a brief pause, breath, or body awareness practice to reduce reactivity. Use it to assess your default pattern before changing behavior.","Use a brief pause, breath, or body awareness practice to reduce reactivity.",Prompt to assess your current pattern.,"During an argument, pause for one slow inhale and exhale before answering.",Notice tension in the jaw or chest as an early cue that reactivity is rising.,"Skillful communication becomes more effective when you build it from foundation to practice: presence, intention, attention, and live integration.",Skillful communication,Presence,The Center of Our Lives,Mindfulness and regulation,Assessment or reflection,"Pause, breathe, ground, and regulate before speaking.",Skillful communication > Presence > The Center of Our Lives > Mindfulness and regulation > Assessment or reflection,mindfulness_pause,assessment_or_reflection,5,"relationships. If you’re interested in taking your training further, the tools you"
