insight_id,insight_date,source,source_type,theme,region_std,lifecycle_stage,category,statement,so_what,confidence
I0001,2026-08-09,Validated model,Analysis,Capture,AMER,BUILD,,"IHG captures 7.60% of its directly addressable spend ($1,158.4m of $15.23bn).",$14.07bn of headroom sits outside any programme. This is the number the whole strategy hangs off.,High
I0002,2026-08-09,Validated model,Analysis,Capture,AMER,OPEN,,"IHG captures 7.60% of its directly addressable spend ($1,158.4m of $15.23bn).",$14.07bn of headroom sits outside any programme. This is the number the whole strategy hangs off.,High
I0003,2026-08-09,Validated model,Analysis,Capture,AMER,OPERATE,,"IHG captures 7.60% of its directly addressable spend ($1,158.4m of $15.23bn).",$14.07bn of headroom sits outside any programme. This is the number the whole strategy hangs off.,High
I0004,2026-08-09,Validated model,Analysis,Capture,AMER,IT/TELECOM,,"IHG captures 7.60% of its directly addressable spend ($1,158.4m of $15.23bn).",$14.07bn of headroom sits outside any programme. This is the number the whole strategy hangs off.,High
I0005,2026-08-09,Validated model,Analysis,Capture,EMEAA,BUILD,,"IHG captures 7.60% of its directly addressable spend ($1,158.4m of $15.23bn).",$14.07bn of headroom sits outside any programme. This is the number the whole strategy hangs off.,High
I0006,2026-08-09,Validated model,Analysis,Capture,EMEAA,OPEN,,"IHG captures 7.60% of its directly addressable spend ($1,158.4m of $15.23bn).",$14.07bn of headroom sits outside any programme. This is the number the whole strategy hangs off.,High
I0007,2026-08-09,Validated model,Analysis,Capture,EMEAA,OPERATE,,"IHG captures 7.60% of its directly addressable spend ($1,158.4m of $15.23bn).",$14.07bn of headroom sits outside any programme. This is the number the whole strategy hangs off.,High
I0008,2026-08-09,Validated model,Analysis,Capture,EMEAA,IT/TELECOM,,"IHG captures 7.60% of its directly addressable spend ($1,158.4m of $15.23bn).",$14.07bn of headroom sits outside any programme. This is the number the whole strategy hangs off.,High
I0009,2026-08-09,Validated model,Analysis,Capture,GC,BUILD,,"IHG captures 7.60% of its directly addressable spend ($1,158.4m of $15.23bn).",$14.07bn of headroom sits outside any programme. This is the number the whole strategy hangs off.,High
I0010,2026-08-09,Validated model,Analysis,Capture,GC,OPEN,,"IHG captures 7.60% of its directly addressable spend ($1,158.4m of $15.23bn).",$14.07bn of headroom sits outside any programme. This is the number the whole strategy hangs off.,High
I0011,2026-08-09,Validated model,Analysis,Capture,GC,OPERATE,,"IHG captures 7.60% of its directly addressable spend ($1,158.4m of $15.23bn).",$14.07bn of headroom sits outside any programme. This is the number the whole strategy hangs off.,High
I0012,2026-08-09,Validated model,Analysis,Capture,GC,IT/TELECOM,,"IHG captures 7.60% of its directly addressable spend ($1,158.4m of $15.23bn).",$14.07bn of headroom sits outside any programme. This is the number the whole strategy hangs off.,High
I0013,2026-08-09,Validated model,Analysis,Scale,AMER,BUILD,,"IHG's addressable spend is $28.91bn, 11.28% of the $256.36bn branded-market pool.","We are a meaningful buyer in absolute terms but a small share of the market — leverage has to come from our own estate, not from market share.",High
I0014,2026-08-09,Validated model,Analysis,Scale,AMER,OPEN,,"IHG's addressable spend is $28.91bn, 11.28% of the $256.36bn branded-market pool.","We are a meaningful buyer in absolute terms but a small share of the market — leverage has to come from our own estate, not from market share.",High
I0015,2026-08-09,Validated model,Analysis,Scale,AMER,OPERATE,,"IHG's addressable spend is $28.91bn, 11.28% of the $256.36bn branded-market pool.","We are a meaningful buyer in absolute terms but a small share of the market — leverage has to come from our own estate, not from market share.",High
I0016,2026-08-09,Validated model,Analysis,Scale,AMER,IT/TELECOM,,"IHG's addressable spend is $28.91bn, 11.28% of the $256.36bn branded-market pool.","We are a meaningful buyer in absolute terms but a small share of the market — leverage has to come from our own estate, not from market share.",High
I0017,2026-08-09,Validated model,Analysis,Scale,EMEAA,BUILD,,"IHG's addressable spend is $28.91bn, 11.28% of the $256.36bn branded-market pool.","We are a meaningful buyer in absolute terms but a small share of the market — leverage has to come from our own estate, not from market share.",High
I0018,2026-08-09,Validated model,Analysis,Scale,EMEAA,OPEN,,"IHG's addressable spend is $28.91bn, 11.28% of the $256.36bn branded-market pool.","We are a meaningful buyer in absolute terms but a small share of the market — leverage has to come from our own estate, not from market share.",High
I0019,2026-08-09,Validated model,Analysis,Scale,EMEAA,OPERATE,,"IHG's addressable spend is $28.91bn, 11.28% of the $256.36bn branded-market pool.","We are a meaningful buyer in absolute terms but a small share of the market — leverage has to come from our own estate, not from market share.",High
I0020,2026-08-09,Validated model,Analysis,Scale,EMEAA,IT/TELECOM,,"IHG's addressable spend is $28.91bn, 11.28% of the $256.36bn branded-market pool.","We are a meaningful buyer in absolute terms but a small share of the market — leverage has to come from our own estate, not from market share.",High
I0021,2026-08-09,Validated model,Analysis,Scale,GC,BUILD,,"IHG's addressable spend is $28.91bn, 11.28% of the $256.36bn branded-market pool.","We are a meaningful buyer in absolute terms but a small share of the market — leverage has to come from our own estate, not from market share.",High
I0022,2026-08-09,Validated model,Analysis,Scale,GC,OPEN,,"IHG's addressable spend is $28.91bn, 11.28% of the $256.36bn branded-market pool.","We are a meaningful buyer in absolute terms but a small share of the market — leverage has to come from our own estate, not from market share.",High
I0023,2026-08-09,Validated model,Analysis,Scale,GC,OPERATE,,"IHG's addressable spend is $28.91bn, 11.28% of the $256.36bn branded-market pool.","We are a meaningful buyer in absolute terms but a small share of the market — leverage has to come from our own estate, not from market share.",High
I0024,2026-08-09,Validated model,Analysis,Scale,GC,IT/TELECOM,,"IHG's addressable spend is $28.91bn, 11.28% of the $256.36bn branded-market pool.","We are a meaningful buyer in absolute terms but a small share of the market — leverage has to come from our own estate, not from market share.",High
I0025,2026-08-09,Validated model,Analysis,Definition,AMER,BUILD,,BUILD is 47.49% of addressable spend but is a modelled pipeline estimate for hotels not yet open.,Excluding it is what turns $28.9bn 'addressable' into $15.2bn 'directly addressable'. Quote the directly-addressable basis in any capture conversation.,High
I0026,2026-08-09,Validated model,Analysis,Definition,EMEAA,BUILD,,BUILD is 47.49% of addressable spend but is a modelled pipeline estimate for hotels not yet open.,Excluding it is what turns $28.9bn 'addressable' into $15.2bn 'directly addressable'. Quote the directly-addressable basis in any capture conversation.,High
I0027,2026-08-09,Validated model,Analysis,Definition,GC,BUILD,,BUILD is 47.49% of addressable spend but is a modelled pipeline estimate for hotels not yet open.,Excluding it is what turns $28.9bn 'addressable' into $15.2bn 'directly addressable'. Quote the directly-addressable basis in any capture conversation.,High
I0028,2026-08-09,Validated model,Analysis,Capture,AMER,BUILD,,AMER captures 9.07% — $901.7m of $9.94bn directly addressable. That is the strongest capture rate of the three regions.,$9.04bn of headroom in AMER. Biggest single regional prize.,High
I0029,2026-08-09,Validated model,Analysis,Capture,AMER,OPEN,,AMER captures 9.07% — $901.7m of $9.94bn directly addressable. That is the strongest capture rate of the three regions.,$9.04bn of headroom in AMER. Biggest single regional prize.,High
I0030,2026-08-09,Validated model,Analysis,Capture,AMER,OPERATE,,AMER captures 9.07% — $901.7m of $9.94bn directly addressable. That is the strongest capture rate of the three regions.,$9.04bn of headroom in AMER. Biggest single regional prize.,High
I0031,2026-08-09,Validated model,Analysis,Capture,AMER,IT/TELECOM,,AMER captures 9.07% — $901.7m of $9.94bn directly addressable. That is the strongest capture rate of the three regions.,$9.04bn of headroom in AMER. Biggest single regional prize.,High
